1 1 0 0 0 0 0 0 0.104459 0.164596 0.0575803 16 -0.0111864 0.107311 0.078806
2 1 0.04 0 0 0 0 0 0.0843525 0.144346 0.0504581 20 -0.0151705 0.0957295 0.0683408
3 1 0.08 0 0 0 0 0 0.0765149 0.13227 0.0429436 24 -0.0135102 0.0846211 0.0583661
4 1 0.12 0 0 0 0 0 0.0740183 0.125401 0.0364104 27 -0.0106583 0.0763222 0.049827
5 1 0.16 0 0 0 0 0 0.0732174 0.12174 0.0310193 28 -0.00851977 0.0710485 0.0426715
27 1 0.00816621 0.043803 0 7.6024e-05 3.12827e-05 0 0.0198123 0.110597 0.0466322 20 -0.0482653 0.102718 0.0576964
28 1 0.0462815 0.0431648 0 5.96745e-05 2.8366e-05 0 0.0524431 0.127845 0.0427807 25 -0.0310064 0.0962136 0.0553463
29 1 0.0850423 0.0427944 0 4.82821e-05 2.64145e-05 0 0.0578936 0.125668 0.0383306 30 -0.0246148 0.0881726 0.0504384
30 1 0.124183 0.0425837 0 4.0264e-05 2.50532e-05 0 0.0600026 0.121934 0.0337633 34 -0.0200412 0.0809691 0.0450414
31 1 0.163537 0.042477 0 3.40606e-05 2.41329e-05 0 0.0619496 0.119711 0.0294451 35 -0.0165682 0.0757696 0.0396948
53 1 0.0132055 0.0875628 0 0.000124138 6.6352e-05 0 0.0115842 0.109291 0.0376403 24 -0.0528568 0.102739 0.0447556
54 1 0.0511162 0.0865422 0 0.000105135 5.95666e-05 0 0.0320993 0.11917 0.0361643 30 -0.0417361 0.098125 0.0447172
55 1 0.0894007 0.0858495 0 8.95155e-05 5.5005e-05 0 0.0393983 0.11933 0.0335634 36 -0.0355421 0.0921674 0.0424084
56 1 0.128001 0.0854237 0 7.63663e-05 5.1583e-05 0 0.0437531 0.117779 0.0305958 41 -0.0306307 0.0863668 0.0394337
57 1 0.166832 0.0851751 0 6.53489e-05 4.96098e-05 0 0.0479177 0.11726 0.0274477 42 -0.0264611 0.0818324 0.0359634
79 1 0.0176112 0.131421 0 0.000165475 0.000103603 0 0.00314352 0.108193 0.0298514 27 -0.0577373 0.104195 0.0336249
80 1 0.0553421 0.130214 0 0.000144886 9.55126e-05 0 0.019684 0.116824 0.0295515 34 -0.0493508 0.101502 0.034739
81 1 0.0933314 0.129326 0 0.000126314 8.95623e-05 0 0.0269255 0.118529 0.0283062 41 -0.0443085 0.0977323 0.034156
82 1 0.131553 0.128731 0 0.000109874 8.50064e-05 0 0.0320526 0.118676 0.0267332 46 -0.039962 0.0936764 0.0331172
105 1 0.0213694 0.17533 0 0.000200702 0.000141382 0 -0.00328317 0.107219 0.0230726 28 -0.0611721 0.105201 0.0244341
106 1 0.0589833 0.174072 0 0.000178587 0.000131814 0 0.0119943 0.116596 0.0234015 35 -0.0543228 0.104351 0.0260694
107 1 0.0967736 0.173093 0 0.000158097 0.000124387 0 0.0195088 0.120282 0.0230617 42 -0.0502985 0.102755 0.0265304
108 1 0.134729 0.172393 0 0.000139062 0.000118445 0 0.0245982 0.121897 0.0224409 47 -0.0469556 0.100569 0.0266703
83 1 0.169975 0.128352 0 9.50621e-05 8.19354e-05 0 0.0369188 0.119192 0.0247105 47 -0.0359864 0.090108 0.0313063
