0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
0.000000000000000000e+00 1.000000000000000000e+00 1.147371570048806200e-22 9.999999999999998473e-03 3.375909257076245996e-03 2.034266059384447464e-06 2.034266059384447888e-06 7.878339200806338399e-03
0.000000000000000000e+00 1.000000000000000000e+00 2.294743140097612400e-22 1.999999999999999695e-02 6.751818514152491991e-03 4.068532118768894929e-06 4.068532118768895776e-06 1.575667840161267680e-02
0.000000000000000000e+00 1.000000000000000000e+00 3.442114710154289240e-22 2.999999999999999542e-02 1.012772777122850076e-02 6.102798177251469568e-06 6.102798177251469568e-06 2.363501760241945929e-02
0.000000000000000000e+00 1.000000000000000000e+00 4.589486280195224801e-22 3.999999999999999389e-02 1.350363702830498398e-02 8.137064237537789858e-06 8.137064237537791552e-06 3.151335680322535360e-02
0.000000000000000000e+00 1.000000000000000000e+00 5.736857850249821486e-22 5.000000000000000278e-02 1.687954628538436072e-02 1.017133029543593972e-05 1.017133029543593972e-05 3.939169600404072991e-02
0.000000000000000000e+00 1.000000000000000000e+00 6.884229420308578481e-22 5.999999999999999084e-02 2.025545554245700153e-02 1.220559635450293914e-05 1.220559635450293914e-05 4.727003520483891857e-02
0.000000000000000000e+00 1.000000000000000000e+00 8.031600990344284502e-22 6.999999999999999278e-02 2.363136479953662980e-02 1.423986241516655331e-05 1.423986241516655670e-05 5.514837440565484306e-02
0.000000000000000000e+00 1.000000000000000000e+00 9.178972560390449601e-22 7.999999999999998779e-02 2.700727405660996797e-02 1.627412847507557972e-05 1.627412847507558310e-05 6.302671360645070719e-02
0.000000000000000000e+00 1.000000000000000000e+00 1.032634413046032301e-21 8.999999999999999667e-02 3.038318331368294531e-02 1.830839453252870524e-05 1.830839453252870524e-05 7.090505280725260817e-02
0.000000000000000000e+00 1.000000000000000000e+00 1.147371570049964297e-21 1.000000000000000056e-01 3.375909257076872144e-02 2.034266059087187943e-05 2.034266059087187943e-05 7.878339200808145981e-02
0.000000000000000000e+00 1.000000000000000000e+00 1.262108727057035145e-21 1.100000000000000006e-01 3.713500182784555681e-02 2.237692665036842451e-05 2.237692665036842451e-05 8.666173120889085479e-02
0.000000000000000000e+00 1.000000000000000000e+00 1.376845884061715696e-21 1.199999999999999817e-01 4.051091108491400306e-02 2.441119270900587827e-05 2.441119270900587827e-05 9.454007040967783715e-02
0.000000000000000000e+00 1.000000000000000000e+00 1.491583041058145781e-21 1.299999999999999767e-01 4.388682034198825715e-02 2.644545877239148703e-05 2.644545877239148703e-05 1.024184096104771152e-01
0.000000000000000000e+00 1.000000000000000000e+00 1.606320198068856900e-21 1.399999999999999856e-01 4.726272959907325960e-02 2.847972483033310662e-05 2.847972483033311340e-05 1.102967488113096861e-01
0.000000000000000000e+00 1.000000000000000000e+00 1.721057355076290929e-21 1.499999999999999667e-01 5.063863885614929006e-02 3.051399088727707387e-05 3.051399088727707387e-05 1.181750880121162639e-01
0.000000000000000000e+00 1.000000000000000000e+00 1.835794512078089920e-21 1.599999999999999756e-01 5.401454811321993593e-02 3.254825695015115943e-05 3.254825695015116621e-05 1.260534272129014144e-01
0.000000000000000000e+00 1.000000000000000000e+00 1.950531669081912642e-21 1.700000000000000122e-01 5.739045737030301630e-02 3.458252300606257996e-05 3.458252300606257996e-05 1.339317664137300579e-01
0.000000000000000000e+00 1.000000000000000000e+00 2.065268826092064602e-21 1.799999999999999933e-01 6.076636662736589062e-02 3.661678906505741048e-05 3.661678906505741048e-05 1.418101056145052163e-01
0.000000000000000000e+00 1.000000000000000000e+00 2.180005983095513799e-21 1.899999999999999745e-01 6.414227588445772787e-02 3.865105512535869784e-05 3.865105512535869784e-05 1.496884448153500413e-01
